Artist,Title,Album,Date,Lyric,Year
Starfall,intentions,Alone Tonight,,"[Verse 1] What's your intentions, baby? Do I drive you crazy? Have you been honest lately? Do you mind me sayin' ""I don't know how to feel?"" Is this love even real? I don't know No, I don't want to be alone, it's making me sentimental The feelings I can't control, it always just fucks with my mental It's only you that knows, I guess that you're somebody special But I don't know, girl, I don't know-oh-woah [Chorus] Lately, I feel like I'm too attached, we're stuck in the moment Not thinking 'bout how we move too fast But I kinda like it this way Who gives a fuck what they say? It's you and me right now, baby (No-woah) Can't even think, I've been losing track, I'm stuck in the middle Start thinking 'bout how you do me like that But I kinda like it this way Who gives a fuck what they say? It's you and me right now, baby, uh-huh [Verse 2] What you doing? (What you doing?) And where you've been? (Where you've been?) Did I miss a text back? Are you with your friends? Could you tell me where you are? Don't stay too far You know that I won't trip 'bout the time-ime Close to nine, oh, please don't dim the lights Can we just talk about it over at my place? And, baby, stay the night, oh, let me make it right And let me tell you what I wanted from that day, yeah, yeah [Chorus] Lately, I feel like I'm too attached, we're stuck in the moment (Ooh-ooh) Not thinking 'bout how we move too fast (Oh, oh-oh) But I kinda like it this way (Yeah) Who gives a fuck what they say? (Yeah, yeah) It's you and me right now, baby (No-woah) Can't even think, I've been losing track, I'm stuck in the middle (Uh-huh) Start thinking 'bout how you do me like that But I kinda like it this way (Ooh) Who gives a fuck what they say? It's you and me right now, baby (Ooh) [Bridge] So, baby, tell me, would you know? (Would you notice me if I fell apart?) Oh, would you know? (Would you notice me if I fell apart?) I might be over it all, oh, could you look at me? Think I might be getting withdrawals, why can't you look at me? So, baby, tell me, would you know? (Would you notice me if I fell apart?) I can't get enough, oh, would you know? (Would you notice me if I fell apart?) I can't get enough of you I might be over it all, oh, could you look at me? Think I might be getting withdrawals, why can't you look at me, baby? [Chorus] Lately, I feel like I'm too attached, we're stuck in the moment Not thinking 'bout how we move too fast But I kinda like it this way Who gives a fuck what they say? It's you and me right now, baby (Yeah, yeah) ('Cause you're still on my mind) Can't even think, I've been losing track, I'm stuck in the middle Start thinking 'bout how you do me like that But I kinda like it this way Who gives a fuck what they say? It's you and me right now, baby, uh-huh",
Starfall,feelings,Alone Tonight,,"[Pre-Chorus] I still won't worry  ??bout our times When we argue, make up, rewind Oh, baby, won't you just listen? A shot at forgiveness 'Cause I know it ??s better than losing you here [Chorus] 'Cause I don't know (Oh) How far I can go if I'm all alone The feelings don't change when I'm not at home or at the club It's not enough to change my mind [Verse] Baby, I find it under my light There's no one prettier under the sky (Sky) You are the one, the one in my life We wouldn ??t know a thing if we never try [Pre-Chorus] I still won ??t worry 'bout our times When we argue, make up, rewind Oh, baby, won ??t you just listen? A shot at forgiveness  ??Cause I know it's better than losing you here [Chorus]  ??Cause I don't know How far I can go if I'm all alone (All alone) The feelings don ??t change when I'm not at home or at the club It's not enough to change my mind (Woah, woah, woah) Baby, 'cause I don't know (I don't know) How far I can go if I'm all alone The feelings don't change when I'm not at home (When I'm not at home, not at home) Or at the club (Or at the club) It's not enough (It's not enough, oh) To change my mind, baby, I-",
Starfall,cruel,Alone Tonight,,"[Verse 1] Don't make me fight for it (Fight for it) You never seem to care, girl I want you to try for it (Try for it, yeah) Baby, don't you let me go (Don't you let me go) I've been patient (I've been patient) Baby, I want you to stay for longer It's been apparent (Oh), but you'll never know (Oh, yeah) [Chorus] It's your eyes, your lips (Yeah, yeah) Your smile, your kiss (Ooh, kiss, kiss) It's true, I just can't find you where you are (It's you I can't get over) Now, down if you say it (Oh) Woke up today feeling stressed, can't fake it (Oh, no) I'll piss you off depending on how you take it Moving side to side, I don't think I can escape it [Verse 2] Dream, too many things that I wish I didn't see Too many fights you tеll me you don't believе Maybe I'm right, but go  ??head and 'cause a scene Know what you need-eed You were just gone with no trace, no warnin' (Yeah) I'm fine, but I miss your moanin' You're gone, but you miss those mornings too, it's true, woah [Chorus] I'm not a face you can walk right over (Ooh, woah) I'm down to see what you want right now We should talk, come over (Come over) I'm down to see what you want right now, down if you say it Woke up today feeling stressed, can't fake it (Oh, no) I'll piss you off depending on how you take it Moving side to side, I don't think I can escape it [Bridge] You used to be so blue, when everything was true How could you be so cruel? Oh, if you only knew [Chorus] It's your eyes, your lips (Yeah, yeah) Your smile, your kiss (Ooh, kiss, kiss, ooh, I miss your kiss) It's true I just can't find you where you are (It's you I can't get over) Now, down if you say it (Oh) Woke up today feeling stressed, can't fake it (Oh, no) I'll piss you off depending on how you take it Moving side to side, I don't think I can escape it",
Starfall,cigarettes,Alone Tonight,,"[Verse 1] Play your worst, don't cry to me Am I the one who hurts? Am I always a burden? I've been all alone There's no place to call home It's always raining out here, It's always cold (Ooh) [Pre-Chorus] I wish you never said those lines The cigarettes just left behind (Oh) Your lipstick on my centerpiece (Oh) A distance of a memory Oh, maybe I'm jaded from what used to be (Oh) It's over, but it's not (Ah) If only you would stop [Chorus] But I'll find, I'll find us a way (I ??ll find us a way) And even if I'm not the one I'll search for the sun Just to be here with you (Ooh) Not with somebody nеw (Oh-ah) I don't wanna hurt you, but I'll do (Oh) The only thing I know, that's best for us [Verse 2] Play your worst, and come cry to mе Am I a fool for what I did? It's getting harder just to live without you here 'Cause it's hard, I'll never grow old with you, my dear 'Cause in the future, I know, I hope he'll keep you safe [Pre-Chorus] I wish you never said those lines (Said those lines) The cigarettes just left behind Your lipstick on my centerpiece (Ooh) A distance of a memory Oh, maybe I'm jaded from what used to be (Ooh) It's over, but it's not (Oh, yeah) If only you would tell me that you'll [Bridge] Stay here, and darling, just stay here Spend the rest of my days here (Ooh) I'll promise I'll try to never let you go Oh, I'll never let you know, woah (Oh-woah)  ??Cause, darling, I'll try (I'll try) not to cry (Not to cry) on my own [Chorus] Stop, but I'll find, I'll find us a way (Find us a way) And even if I'm not the one (If I'm not the one) I'll search for the sun Just to be here with you (Ooh) Not with somebody new I don't wanna hurt you, but I'll do The only thing I know, that's best for us",
Starfall,burn my tongue,Alone Tonight,,"[Verse 1] If you wanna leave Just go, won't beg you on my knees Your feelings changing by the week Oh, I won't be around to cure your needs (No) To cure your needs [Pre-Chorus] Slick with your words, the way you use them Got me doing things that I think I really shouldn't do, I I know it's toxic, but I [Chorus] Said, you wanna try for love Had me thinking you were mine, but you were not the one Every time I say your name, I feel it burn my tongue You keep driving me insane, I think I've had enough of you Said, you wanna try for love Had me thinking you were mine, but you were not the one Every time I say your name, I feel it burn my tongue You keep driving mе insane, I think I've had enough of you [Verse 2] It's a mеss, fuck all of your friends You were on my mind, running circles in my head, yeah I don't understand your complacent dialect Misspent all my time, but it won't happen again now, baby [Pre-Chorus] Slick with your words the way you use them Got me doing things that I think I really shouldn't do, I I know it's toxic, but I (Oh) [Chorus] Said, you wanna try for love Had me thinking you were mine, but you were not the one Every time I say your name, I feel it burn my tongue You keep driving me insane, I think I've had enough of you (Yeah) Said, you wanna try for love Had me thinking you were mine, but you were not the one Every time I say your name, I feel it burn my tongue You keep driving me insane, I think I've had enough of you",
Starfall,bitter,Alone Tonight,,"[Chorus] Save me from my skin, don't open up that window Teach me how to live, you don't get anything that I'm saying Hate me from my sins, we've been stuck in limbo Taste the bitter lips, you wouldn't stay to stop what I'm feeling (Oh) [Verse] A little more to cry A simple, honest, conversation shouldn ??t turn to fights And a bitter taste that contemplates my mind I just wanna go, I've been running slow You're not gonna loop a circle, it ??s unstoppable I don't need no attention, baby I ??m wanting a confession, lately Maybe I'm content (Oh, I) Would I lie again? (Oh, ah-ah) I just wanna go  ??cause you keep filling the void Oh, I, mm, oh-oh-oh [Chorus] Save me from my skin, don't open up that window Teach me how to live, you don't get anything that I'm saying Hatе me from my sins, we've been stuck in limbo Tastе the bitter lips, you wouldn't stay to stop what I'm feeling [Outro] Ooh, ooh-ooh I can wish you well I'm rocking with you Ooh, ooh-ooh Rocking with you",
Starfall,come home,Come Home,,"[Verse 1] Ain't it sentimental love you wanted? It's all that I know, mm, mm How many times before, hey I gave you more, so you started giving less I should let you go, mm-mm How many times before [Pre-Chorus] 'Cause the world keeps spinning Out my grasp, baby Don't you feel it too? What makes you so cool? (Said, I don't belong to you no more) [Chorus] We're running out of time Out of time Out of time, out of time, time Get your clothes back on 'Cause it's time to come home Said, come home to me, darling [Verse 2] Won't you give me an ear (Oh) I fought my fights a little less I stayеd even though I'm a little mеssed up Don't you wanna be here? (Don't you wanna?) Did the night catch you lonely? Oh, you know you can call me? [Pre-Chorus] 'Cause the world keeps spinning (Oh, the world) Out my grasp, baby Don't you feel it too? (Oh, don't you feel it?) What makes you so cool? (What makes you so cool?) [Bridge] So tell me, baby I can't let you go on without me Fuck if I care who you went to see, babe And I could let you know You're all the space I hold If you give me some time [Chorus] Out of time Out of time, out of time, time (Yeah-yeah) Get your clothes back on 'Cause it's time to come home Said, come home to me, darling [Outro]",
Starfall,hero,Come Home,,"[Verse 1] Just know that I'll never hate you You need your time away and I just can't await you I think that you're stronger than most, but you fell below I told you my secrets that nobody knows I can't be your hero, there's too much to save I've fell down to zero, I've dug my own grave Well I hope I never see you again We'll walk by like strangers and we'll play pretend (Oh, woah) [Pre-Chorus] You could say you're sorry, but things wouldn't change We could be friends, but it's just not the same You broke down my walls You tore me to pieces I'vе been through it all [Chorus] I, hated you, stated to went on thosе dates with you Waited to play it through, I can't relate to you now (No) I was high off the ground But you brought me down [Verse 2] You're in the mirror, fightin' for life (Ooh) You're all by yourself now When you cope, picking up a fight 'Cause I know you too well You'll realize the self doubts and find out the hell (Oh) The same thing as always, 'cause I [Pre-Chorus] I guess you could say you're sorry, but things wouldn't change We could be friends, but it's just not the same You broke down my walls You tore me to pieces I've been through it all [Chorus] I, hated you, stated to went on those dates with you Waited to play it through, I can't relate to you now I was high off the ground But you brought me down (Woah, yeah) [Outro] Yeah, yeah No, oh-yeah-yeah Tell me, girl, would you know (Would you know) Baby, oh-woah No, oh-yeah",
Starfall,weeknight,Come Home,,"[Pre-Chorus] So if I let you go, would you just leave, or would you hold me tight? I need some Lexapro inside of me, something that'll get me by I need you desperately You're all I ever see in my mind I miss the way I feel when I look into your eyes [Chorus] You call me up on a weeknight Tell me you haven't slept right, baby You're not the same in the daylight (No) I wonder who broke your heart now, baby No, I can't do what you want Is it me or alcohol? I don't know, I wanna know [Verse] I, I don't wanna know, what's right Baby, I'll just go in blind, oh-woah Maybe it's the distance that makes you so cold We should cut it off I don't wanna take your side Even if it hurts tonight 'cause my patience is fadin' away [Pre-Chorus] So if I let you go, would you just leave, or would you hold me tight? I need some Lexapro inside of me, something that'll get me by I need you desperately You're all I ever see in my mind I miss the way I feel when I look into your eyes [Chorus] You call me up on a weeknight Tell me you haven't slept right, baby You're not the same in the daylight (No) I wonder who broke your heart now, baby No, I can't do what you want Is it me or alcohol? I don't know, I wanna know You call me up on a weeknight (Oh, you call) Tell me you haven't slept right, baby You're not the same in the daylight (No) I wonder who broke your heart now, baby (Broke your heart) No, I can't do what you want Is it me or alcohol? I don't know, I wanna know (Ha, ha, ha) [Outro] You call me up on a weeknight Tell me you haven't slept right, baby You're not the same in the daylight (No) I wonder who broke your heart now, baby No, I can't do what you want Is it me or alcohol? I don't know, I wanna know",
Starfall,stuck like this,Come Home,,"[Verse 1] Do you notice me? Losing focus, dreaming of our motive Breathing through the motions, yeah I don't wanna be someone that you love temporarily Baby, won't you be mine? (Come on Ben, the kids listen to you) Said, won't you be mine forever? [Chorus] I just don't know how we ended up stuck like this I thank God every day (You know, you know, you know) It's all requited, I don't ask for anything I thank God every day, yeah [Verse 2] Yeah, know it hurts like hell But I only mean well when I say you ??re mine (Yeah, yeah) Said, it makes you fail Girl, you've been through hell Wanna make that right (Yeah, yeah) Oh, you know I believe you, don't let it eat you I can't explain what's on my mind (Yeah) Baby, what's wrong with me? I need your company (Oh) No, I promise I ain't going away, oh [Chorus] I just don't know how we ended up stuck like this I thank God every day (You know, you know, you know) It's all requited, I don't ask for anything I thank God every day, yeah (Come on Ben, the kids listen to you) [Bridge] Oh, I With you, there's still a place where I can fly Without the world that took my feathers What I've been dreaming about Oh, I hope you stay forever 'Cause I want you around Oh, all around me [Chorus] 'Cause I just don't know how we ended up stuck like this I thank God every day (You know, know, know, know, ooh-woah) It's all requited, I don't ask for anything I thank God every day, yeah (Come on Ben, the kids listen to you) I just don't know how we ended up stuck like this I thank God every day (I thank God every day, yeah) It's all requited, I don't ask for anything (Yeah) I thank God every day, yeah",
